"site","year","species","d10","d20","d30","d40","d50"
"COLSKATMD1",2010,"bhco",0,0,0,1,0
"COLSKATMD1",2010,"hofi",0,2,0,2,0
"COLSKATMD1",2010,"howr",1,0,0,0,0
"COLSKATMD1",2010,"noca",0,0,1,0,1
"COLSKATMD1",2010,"rthu",1,0,0,0,0
"COLSKATMD1",2012,"amro",0,0,0,1,0
"COLSKATMD1",2012,"blja",1,0,0,0,0
"COLSKATMD1",2012,"cach",0,0,0,1,0
"COLSKATMD1",2012,"hawo",0,1,0,0,0
"COLSKATMD1",2012,"howr",0,0,0,0,2
"COLSKATMD1",2012,"noca",0,0,0,0,1
"COLSKATMD1",2012,"rbwo",0,1,0,0,0
"COLSKATMD1",2012,"rsha",0,1,0,0,0
"COLSKATMD1",2012,"tuti",1,0,2,1,0
"COLSKATMD1",2012,"wbnu",0,0,0,1,0
"COLSKATMD1",2012,"woth",0,0,1,0,0
"CONAGAIMD1",2009,"amro",0,0,2,0,1
"CONAGAIMD1",2009,"bhco",1,0,1,0,0
"CONAGAIMD1",2009,"carw",0,0,0,1,0
"CONAGAIMD1",2009,"cogr",0,1,0,0,0
"CONAGAIMD1",2009,"grca",1,1,0,0,1
"CONAGAIMD1",2009,"howr",0,0,0,0,1
"CONAGAIMD1",2009,"modo",0,0,0,0,1
"CONAGAIMD1",2009,"noca",0,1,0,1,1
"CONAGAIMD1",2009,"oven",0,0,0,1,0
"CONAGAIMD1",2009,"piwo",0,0,0,1,0
"CONAGAIMD1",2009,"tuti",0,2,0,0,0
"CONAGAIMD1",2009,"wbnu",0,0,0,2,0
"CONNDAVMD1",2009,"amgo",0,2,0,0,0
"CONNDAVMD1",2009,"amro",0,0,1,1,0
"CONNDAVMD1",2009,"blja",0,0,0,1,0
"CONNDAVMD1",2009,"cach",0,3,0,0,0
"CONNDAVMD1",2009,"carw",0,0,0,0,1
"CONNDAVMD1",2009,"grca",0,0,1,0,0
"CONNDAVMD1",2009,"howr",0,1,0,0,0
"CONNDAVMD1",2009,"noca",0,0,0,1,0
"CONNDAVMD1",2009,"sosp",0,0,0,1,0
"CORCLINMD2",2009,"amro",0,4,1,0,0
"CORCLINMD2",2009,"cach",0,4,0,0,0
"CORCLINMD2",2009,"carw",0,0,1,0,0
"CORCLINMD2",2009,"dowo",0,1,0,0,0
"CORCLINMD2",2009,"grca",0,0,2,0,0
"CORCLINMD2",2009,"howr",0,0,1,0,0
"CORCLINMD2",2009,"noca",0,5,2,0,0
"CORCLINMD2",2009,"tuti",0,1,2,0,0
"COULMARMD1",2009,"amgo",0,0,1,0,0
"COULMARMD1",2009,"cach",0,0,0,1,1
"COULMARMD1",2009,"cogr",10,12,5,0,0
"COULMARMD1",2009,"grca",1,0,0,0,0
"COULMARMD1",2009,"hofi",0,0,0,1,0
"COULMARMD1",2009,"howr",0,0,0,0,1
"COULMARMD1",2009,"noca",0,0,3,0,0
"CRONCHRVA1",2009,"noca",0,0,2,1,0
"CRONCHRVA1",2009,"sosp",0,0,1,0,2
"CRONCHRVA1",2009,"wbnu",0,0,0,0,3
"CRONCHRVA1",2009,"woth",0,0,0,1,1
"CRONCHRVA1",2010,"amcr",0,0,0,0,1
"CRONCHRVA1",2010,"amro",0,0,0,1,0
"CRONCHRVA1",2010,"noca",1,0,1,0,0
"CRONCHRVA1",2010,"revi",0,0,0,1,0
"CRONCHRVA1",2010,"wbnu",0,0,0,0,1
"CYRUALLMD1",2009,"amgo",0,0,1,0,0
"CYRUALLMD1",2009,"amro",0,3,3,2,2
"CYRUALLMD1",2009,"blja",0,1,0,0,0
"CYRUALLMD1",2009,"cach",0,1,1,0,0
"CYRUALLMD1",2009,"carw",0,1,0,0,0
"CYRUALLMD1",2009,"dowo",0,0,1,0,0
"CYRUALLMD1",2009,"eabl",0,0,1,0,0
"CYRUALLMD1",2009,"modo",0,0,2,1,0
"CYRUALLMD1",2009,"rbwo",0,0,1,0,0
"CYRUALLMD1",2009,"sosp",0,0,0,1,0
"CYRUALLMD1",2009,"tuti",0,1,0,0,0
"CYRUALLMD1",2009,"wbnu",0,1,0,0,0
"DALEELIMD1",2009,"amro",1,2,0,1,0
"DALEELIMD1",2009,"cach",0,0,0,3,0
"DALEELIMD1",2009,"chsp",0,2,0,1,0
"DALEELIMD1",2009,"cogr",0,0,1,0,0
"DALEELIMD1",2009,"eabl",1,0,0,0,0
"DALEELIMD1",2009,"grca",0,0,1,1,1
"DALEELIMD1",2009,"howr",0,1,0,0,0
"DALEELIMD1",2009,"inbu",0,0,1,0,0
"DALEELIMD1",2009,"modo",0,0,0,0,1
"DALEELIMD1",2009,"noca",0,0,2,1,0
"DALEELIMD1",2009,"nomo",0,0,0,0,1
"DALEELIMD1",2009,"rbwo",0,0,0,0,1
"DALEELIMD1",2009,"tuti",0,0,3,0,0
"DALEELIMD1",2009,"woth",0,0,0,0,1
"DALEELIMD1",2010,"amcr",0,0,0,0,1
"DALEELIMD1",2010,"amro",1,1,0,0,0
"DALEELIMD1",2010,"bhco",0,0,0,0,1
"DALEELIMD1",2010,"cach",0,0,0,0,2
"DALEELIMD1",2010,"carw",0,0,0,0,1
"DALEELIMD1",2010,"chsp",0,0,2,0,0
"DALEELIMD1",2010,"grca",0,1,0,0,1
"DALEELIMD1",2010,"howr",0,1,0,0,0
"DALEELIMD1",2010,"noca",0,0,0,1,0
"DALEELIMD1",2010,"rbwo",0,0,0,1,0
"DALEELIMD1",2010,"tuti",1,0,0,0,0
"DALEELIMD1",2010,"ysfl",0,0,0,0,1
"DALEELIMD1",2012,"amcr",0,0,0,0,4
"DALEELIMD1",2012,"cach",0,0,0,1,0
"DALEELIMD1",2012,"carw",0,0,1,1,0
"DALEELIMD1",2012,"chsw",1,2,0,0,0
"DALEELIMD1",2012,"grca",0,0,0,0,1
"DALEELIMD1",2012,"noca",0,0,0,0,2
"DALEELIMD1",2012,"revi",0,0,1,0,0
"DALEELIMD1",2012,"sosp",0,0,0,1,1
"DANIBARMD2",2010,"amro",0,0,0,1,1
"DANIBARMD2",2010,"carw",0,0,1,0,0
"DANIBARMD2",2010,"howr",0,0,1,0,0
"DANIBARMD2",2010,"noca",2,0,0,0,0
"DANIBARMD2",2010,"tuti",1,1,1,0,0
"DAVIALIVA1",2009,"amro",1,0,0,0,0
"DAVIALIVA1",2009,"howr",0,0,0,0,2
"DAVIALIVA1",2009,"noca",0,0,1,0,0
"DAVIALIVA1",2009,"sosp",0,0,2,1,0
"DAVIALIVA1",2010,"amgo",0,0,0,2,0
"DAVIALIVA1",2010,"amro",0,1,0,0,0
"DAVIALIVA1",2010,"cach",1,0,0,1,0
"DAVIALIVA1",2010,"grca",1,0,0,0,1
"DAVIALIVA1",2010,"hofi",0,2,0,0,0
"DAVIALIVA1",2010,"howr",0,0,1,0,0
"DAVIALIVA1",2010,"noca",0,0,1,0,1
"DAVIALIVA1",2010,"rbnu",0,0,0,0,1
"DAVIALIVA1",2012,"amro",0,0,2,0,0
"DAVIALIVA1",2012,"hofi",0,0,2,0,0
"DAVIALIVA1",2012,"howr",0,0,0,0,1
"DAVIALIVA1",2012,"noca",0,0,0,0,2
"DAVIALIVA1",2012,"sosp",0,0,0,0,1
"DAVIKELVA1",2009,"amgo",0,0,0,0,1
"DAVIKELVA1",2009,"chsp",0,1,0,0,1
"DAVIKELVA1",2009,"cogr",1,0,0,0,0
"DAVIKELVA1",2009,"eabl",0,1,1,1,0
"DAVIKELVA1",2009,"hofi",1,0,1,0,0
"DAVIKELVA1",2009,"noca",0,0,0,1,0
"DAVIKELVA1",2009,"nomo",0,0,0,1,0
"DAVIKELVA1",2009,"rwbl",0,0,0,0,1
"DAVIKELVA1",2010,"amro",1,0,0,0,0
"DAVIKELVA1",2010,"cach",0,0,0,0,1
"DAVIKELVA1",2010,"noca",0,0,0,0,1
"DAVIKELVA1",2010,"nomo",0,0,1,0,0
"DAVIKELVA1",2010,"sosp",0,1,0,0,0
"DAVIKELVA1",2010,"tuti",0,0,0,0,2
"DAVIKELVA1",2012,"amcr",0,0,2,0,0
"DAVIKELVA1",2012,"amgo",0,1,0,1,0
"DAVIKELVA1",2012,"amro",0,0,1,1,0
"DAVIKELVA1",2012,"blja",0,0,0,1,0
"DAVIKELVA1",2012,"chsp",0,1,0,0,0
"DAVIKELVA1",2012,"dowo",0,0,0,0,1
"DAVIKELVA1",2012,"grca",0,0,1,0,0
"DAVIKELVA1",2012,"noca",0,0,2,0,1
"DAVIKELVA1",2012,"sosp",1,0,1,0,0
"DECHKIMMD2",2009,"amro",0,1,1,1,1
"DECHKIMMD2",2009,"blja",1,0,0,1,0
"DECHKIMMD2",2009,"cach",2,0,0,0,0
"DECHKIMMD2",2009,"cogr",1,0,0,0,0
"DECHKIMMD2",2009,"dowo",0,0,0,1,0
"DECHKIMMD2",2009,"hawo",1,0,0,0,0
"DECHKIMMD2",2009,"noca",1,0,0,0,0
"DECHKIMMD2",2009,"rbnu",1,0,0,0,0
"DECHKIMMD2",2009,"rbwo",0,0,1,0,0
"DECHKIMMD2",2009,"tuti",0,0,1,0,0
"DECHKIMMD2",2009,"wbnu",1,1,1,0,0
"DECHKIMMD2",2009,"woth",0,1,1,0,0
"DECHKIMMD2",2010,"amro",0,0,0,1,0
"DECHKIMMD2",2010,"bhco",0,0,0,1,0
"DECHKIMMD2",2010,"cach",0,0,2,0,0
"DECHKIMMD2",2010,"carw",0,0,0,0,1
"DECHKIMMD2",2010,"dowo",0,0,0,0,1
"DECHKIMMD2",2010,"eawp",0,0,0,1,0
"DECHKIMMD2",2010,"hawo",0,0,0,2,0
"DECHKIMMD2",2010,"hofi",0,2,0,0,0
"DECHKIMMD2",2010,"noca",0,0,0,0,1
"DECHKIMMD2",2010,"rbwo",0,0,1,0,0
"DECHKIMMD2",2010,"rthu",1,0,0,0,0
"DECHKIMMD2",2010,"tuti",0,0,0,0,1
"DECHKIMMD2",2012,"amgo",0,0,1,0,0
"DECHKIMMD2",2012,"amro",0,0,0,1,0
"DECHKIMMD2",2012,"bhco",0,0,1,0,0
"DECHKIMMD2",2012,"blja",0,0,2,0,2
"DECHKIMMD2",2012,"cach",0,0,1,1,0
"DECHKIMMD2",2012,"cogr",0,0,3,0,0
"DECHKIMMD2",2012,"dowo",0,0,2,0,0
"DECHKIMMD2",2012,"eawp",0,0,0,0,1
"DECHKIMMD2",2012,"noca",0,0,1,1,0
"DECHKIMMD2",2012,"rbwo",0,0,1,1,0
"DECHKIMMD2",2012,"revi",0,0,0,0,1
"DECHKIMMD2",2012,"rthu",0,1,0,0,0
"DECHKIMMD2",2012,"wbnu",0,0,2,0,0
"DECHKIMMD2",2012,"woth",0,0,0,1,1
"DELUKARVA1",2009,"amgo",3,3,1,0,0
"DELUKARVA1",2009,"amro",0,0,1,0,0
"DELUKARVA1",2009,"bhco",0,1,0,0,0
"DELUKARVA1",2009,"cach",0,0,0,0,1
"DELUKARVA1",2009,"chsw",1,1,0,0,0
"DELUKARVA1",2009,"grca",0,0,1,0,0
"DELUKARVA1",2009,"howr",0,0,1,0,0
"DELUKARVA1",2009,"noca",0,1,1,0,0
"DELUKARVA1",2009,"sosp",0,0,1,2,0
"DELUKARVA1",2010,"amgo",0,0,0,0,1
"DELUKARVA1",2010,"cogr",0,0,1,0,0
"DELUKARVA1",2010,"grca",0,0,0,0,1
"DELUKARVA1",2010,"howr",0,0,0,0,1
"DELUKARVA1",2010,"noca",0,1,0,0,0
"DELUKARVA1",2010,"sosp",0,0,0,1,1
"DELUKARVA1",2012,"amgo",0,1,0,0,0
"DELUKARVA1",2012,"amro",0,0,1,0,0
"DELUKARVA1",2012,"cach",0,2,0,0,0
"DELUKARVA1",2012,"dowo",0,2,0,0,0
"DELUKARVA1",2012,"grca",0,0,0,1,0
"DELUKARVA1",2012,"noca",0,1,1,0,2
"DELUKARVA1",2012,"sosp",0,0,2,0,0
"DELUKARVA1",2012,"tuti",0,0,2,0,0
"DONOLORDC1",2009,"amro",0,2,0,0,0
"DONOLORDC1",2009,"cogr",2,0,0,0,0
"DONOLORDC1",2009,"nomo",0,0,1,0,0
"DONOLORDC1",2010,"modo",0,0,0,3,0
"EDEREDWVA1",2009,"amcr",0,0,0,0,1
"EDEREDWVA1",2009,"blja",0,0,0,1,3
"EDEREDWVA1",2009,"cach",0,2,2,0,0
"EDEREDWVA1",2009,"carw",0,0,1,0,1
"EDEREDWVA1",2009,"grca",0,0,0,1,0
"EDEREDWVA1",2009,"howr",0,1,2,0,0
"EDEREDWVA1",2009,"noca",1,0,1,1,0
"EDEREDWVA1",2009,"sosp",0,0,0,1,1
"EDEREDWVA1",2009,"tuti",0,0,0,1,1
"EDEREDWVA1",2010,"amgo",0,0,0,0,1
"EDEREDWVA1",2010,"amro",1,0,0,0,0
"EDEREDWVA1",2010,"cach",0,0,0,0,3
"EDEREDWVA1",2010,"carw",0,0,0,0,1
"EDEREDWVA1",2010,"cogr",0,0,1,0,0
"EDEREDWVA1",2010,"hofi",0,0,0,0,1
"EDEREDWVA1",2010,"modo",0,0,0,0,2
"EDEREDWVA1",2010,"noca",0,1,0,0,1
"EDEREDWVA1",2010,"rbwo",0,0,0,1,0
"EDEREDWVA1",2010,"sosp",0,0,0,0,2
"EDEREDWVA1",2010,"ysfl",0,0,1,0,0
"EDEREDWVA1",2012,"amro",1,0,1,2,0
"EDEREDWVA1",2012,"cach",0,0,4,2,0
"EDEREDWVA1",2012,"carw",0,0,2,1,0
"EDEREDWVA1",2012,"howr",0,0,2,0,0
"EDEREDWVA1",2012,"noca",0,0,1,2,0
"EDEREDWVA1",2012,"tuti",0,0,1,0,0
"EGANMARMD1",2010,"amro",0,3,1,1,0
"EGANMARMD1",2010,"grca",1,0,0,0,0
"EGANMARMD1",2010,"hofi",0,0,1,1,0
"EGANMARMD1",2010,"noca",0,0,0,2,0
"EGANMARMD1",2010,"nomo",0,0,1,0,0
"EGANMARMD1",2010,"sosp",0,1,0,0,0
"EGANMARMD1",2010,"wbnu",0,0,0,1,0
"EGANMARMD1",2012,"amro",0,1,1,0,1
"EGANMARMD1",2012,"cach",0,0,1,0,0
"EGANMARMD1",2012,"chsw",0,0,2,2,0
"EGANMARMD1",2012,"grca",0,0,1,0,0
"EGANMARMD1",2012,"noca",0,0,1,1,0
"EGANMARMD1",2012,"sosp",0,1,1,1,0
"EGANMARMD1",2012,"tuti",0,2,0,0,0
"EGGELESVA1",2009,"amgo",0,0,0,1,0
"EGGELESVA1",2009,"amro",0,1,0,0,0
"EGGELESVA1",2009,"bhco",1,0,0,0,0
"EGGELESVA1",2009,"blja",0,0,1,0,0
"EGGELESVA1",2009,"cach",0,0,1,1,0
"EGGELESVA1",2009,"carw",0,0,0,0,1
"EGGELESVA1",2009,"chsp",0,0,1,0,0
"EGGELESVA1",2009,"cogr",1,2,3,0,0
"EGGELESVA1",2009,"howr",3,0,0,0,0
"EGGELESVA1",2009,"modo",0,1,0,0,0
"EGGELESVA1",2009,"noca",3,0,0,0,0
"EGGELESVA1",2009,"sosp",2,0,0,0,0
"EGGELESVA1",2009,"wbnu",0,0,0,1,0
"EGGELESVA1",2010,"amro",0,0,2,0,0
"EGGELESVA1",2010,"blja",0,0,0,0,1
"EGGELESVA1",2010,"grca",0,0,0,0,1
"EGGELESVA1",2010,"hofi",0,1,0,0,0
"EGGELESVA1",2010,"howr",0,0,0,1,0
"EGGELESVA1",2010,"modo",0,1,0,1,0
"EGGELESVA1",2010,"noca",0,1,0,0,0
"EGGELESVA1",2010,"sosp",0,0,1,0,1
"EGGELESVA1",2010,"tuti",0,0,0,0,1
"EGGELESVA1",2012,"amro",0,0,0,0,1
"EGGELESVA1",2012,"blja",0,1,0,0,0
"EGGELESVA1",2012,"cogr",0,0,0,0,1
"EGGELESVA1",2012,"grca",0,0,0,1,0
"EGGELESVA1",2012,"howr",0,1,0,0,0
"EGGELESVA1",2012,"modo",0,0,1,0,0
"EGGELESVA1",2012,"noca",0,0,0,1,1
"EGGELESVA1",2012,"sosp",0,1,1,0,2
"EGGELESVA1",2012,"tuti",0,0,2,0,0
"EVANMICMD1",2009,"amgo",1,1,0,0,0
"EVANMICMD1",2009,"amro",0,4,0,0,0
"EVANMICMD1",2009,"cach",3,0,0,0,0
"EVANMICMD1",2009,"carw",1,2,0,0,0
"EVANMICMD1",2009,"howr",3,1,0,0,0
"EVANMICMD1",2009,"modo",0,1,0,0,0
"EVANMICMD1",2009,"noca",0,3,0,0,0
"EVANMICMD1",2009,"sosp",0,1,0,0,0
"EVANMICMD1",2009,"tuti",0,2,0,0,0
"EVANMICMD1",2009,"woth",0,1,0,0,0
"EVANMICMD1",2010,"amro",1,0,3,0,1
"EVANMICMD1",2010,"carw",0,1,0,0,0
"EVANMICMD1",2010,"dowo",1,0,0,0,0
"EVANMICMD1",2010,"grca",0,0,0,1,0
"EVANMICMD1",2010,"noca",0,0,0,0,1
"EVANMICMD1",2012,"amro",0,0,3,1,1
"EVANMICMD1",2012,"blja",0,0,0,1,0
"EVANMICMD1",2012,"carw",0,0,1,0,0
"EVANMICMD1",2012,"chsw",0,2,0,0,0
"EVANMICMD1",2012,"cogr",0,1,3,0,0
"EVANMICMD1",2012,"eawp",0,0,1,0,0
"EVANMICMD1",2012,"howr",0,1,1,1,0
"EVANMICMD1",2012,"noca",0,2,0,0,0
"EVANMICMD1",2012,"rbwo",0,0,0,1,0
"FAGABERMD1",2009,"amgo",0,1,0,0,0
"FAGABERMD1",2009,"amro",1,1,0,0,0
"FAGABERMD1",2009,"blja",0,0,1,0,0
"FAGABERMD1",2009,"cach",0,2,0,0,0
"FAGABERMD1",2009,"carw",0,0,0,0,1
"FAGABERMD1",2009,"cogr",0,0,1,2,0
"FAGABERMD1",2009,"hofi",0,7,0,0,0
"FAGABERMD1",2009,"modo",1,0,0,0,0
"FAGABERMD1",2009,"noca",2,0,0,1,0
"FAGABERMD1",2009,"wbnu",0,1,0,0,0
"FAGABERMD1",2010,"grca",1,0,1,0,0
"FAGABERMD1",2010,"howr",0,0,1,0,0
"FAGABERMD1",2010,"ysfl",0,1,0,0,0
"FAGABERMD1",2012,"amgo",0,0,3,0,0
"FAGABERMD1",2012,"amro",0,0,2,0,0
"FAGABERMD1",2012,"carw",0,2,0,0,0
"FAGABERMD1",2012,"cogr",0,0,0,1,0
"FAGABERMD1",2012,"eawp",0,0,0,1,0
"FAGABERMD1",2012,"grca",0,0,3,1,0
"FAGABERMD1",2012,"hofi",0,0,4,0,0
"FAGABERMD1",2012,"howr",0,0,1,0,1
"FAGABERMD1",2012,"modo",0,0,0,0,1
"FAGABERMD1",2012,"noca",0,2,0,0,0
"FAGABERMD1",2012,"wbnu",1,0,0,0,0
"FARYSIMMD1",2010,"amgo",0,0,2,0,0
"FARYSIMMD1",2010,"amro",2,0,0,0,0
"FARYSIMMD1",2010,"cogr",0,0,0,1,0
"FARYSIMMD1",2010,"grca",0,1,0,0,0
"FARYSIMMD1",2010,"howr",0,1,0,0,0
"FARYSIMMD1",2010,"modo",0,0,1,0,0
"FARYSIMMD1",2010,"noca",0,0,0,1,0
"FARYSIMMD1",2010,"sosp",0,0,0,0,1
"FARYSIMMD1",2012,"amro",0,0,2,3,0
"FARYSIMMD1",2012,"grca",1,0,0,0,0
"FARYSIMMD1",2012,"hofi",1,0,0,0,0
"FARYSIMMD1",2012,"modo",1,1,0,0,1
"FARYSIMMD1",2012,"noca",0,0,0,1,0
"FARYSIMMD1",2012,"nomo",0,1,0,0,0
"FARYSIMMD1",2012,"sosp",1,1,0,0,0
"FISHFERVA1",2009,"amcr",1,0,0,0,0
"FISHFERVA1",2009,"amro",1,0,0,0,0
"FISHFERVA1",2009,"bhco",1,0,0,0,0
"FISHFERVA1",2009,"carw",0,0,1,0,0
"FISHFERVA1",2009,"cedw",0,0,1,0,0
"FISHFERVA1",2009,"cogr",0,0,1,0,0
"FISHFERVA1",2009,"eabl",0,1,0,0,0
"FISHFERVA1",2009,"grca",1,0,0,0,0
"FISHFERVA1",2009,"howr",0,1,0,0,0
"FISHFERVA1",2009,"modo",0,1,0,0,0
"FISHFERVA1",2009,"noca",3,1,1,0,0
"FISHFERVA1",2009,"rbwo",0,1,0,0,0
"FISHFERVA1",2009,"sosp",1,0,0,0,0
"FISHFERVA1",2010,"amgo",0,1,0,0,0
"FISHFERVA1",2010,"amro",0,1,0,2,0
"FISHFERVA1",2010,"cach",0,0,2,0,1
"FISHFERVA1",2010,"cogr",0,0,1,0,0
"FISHFERVA1",2010,"hofi",0,1,0,0,0
"FISHFERVA1",2010,"howr",0,0,1,0,0
"FISHFERVA1",2010,"modo",0,0,1,0,0
"FISHFERVA1",2010,"noca",0,1,0,0,0
"FISHFERVA1",2010,"sosp",2,0,0,0,0
"FISHFERVA1",2012,"amro",0,0,1,4,0
"FISHFERVA1",2012,"carw",0,0,1,1,0
"FISHFERVA1",2012,"grca",0,0,1,0,0
"FISHFERVA1",2012,"hawo",0,0,0,1,0
"FISHFERVA1",2012,"hofi",0,0,1,0,0
"FISHFERVA1",2012,"rbwo",0,0,0,1,0
"FISHFERVA1",2012,"sosp",2,0,1,1,0
"FOOSDAVVA1",2010,"amgo",0,0,1,1,1
"FOOSDAVVA1",2010,"bhco",0,0,0,2,0
"FOOSDAVVA1",2010,"blja",0,0,0,0,1
"FOOSDAVVA1",2010,"grca",0,0,1,0,0
"FOOSDAVVA1",2010,"hofi",0,0,0,0,2
"FOOSDAVVA1",2010,"noca",0,0,0,0,2
"FOOSDAVVA1",2010,"sosp",0,0,0,0,1
"FOOSDAVVA1",2010,"wbnu",0,0,0,2,0
"FORCBREVA1",2009,"amgo",0,1,0,0,0
"FORCBREVA1",2009,"cach",0,0,1,0,0
"FORCBREVA1",2009,"eabl",0,1,0,0,0
"FORCBREVA1",2009,"grca",0,0,1,0,0
"FORCBREVA1",2009,"sosp",1,1,1,0,0
"FORCBREVA1",2010,"amgo",0,0,2,0,0
"FORCBREVA1",2010,"bhco",0,0,0,0,3
"FORCBREVA1",2010,"cogr",0,0,0,0,1
"FORCBREVA1",2010,"grca",0,0,0,0,1
"FORCBREVA1",2010,"hofi",0,2,0,0,0
"FORCBREVA1",2010,"sosp",0,0,0,1,0
"FREYFREMD1",2009,"amgo",1,2,2,1,0
"FREYFREMD1",2009,"amro",1,0,0,0,0
"FREYFREMD1",2009,"bhco",1,1,1,0,0
"FREYFREMD1",2009,"grca",2,0,1,0,0
"FREYFREMD1",2009,"howr",0,1,0,0,0
"FREYFREMD1",2009,"noca",0,1,1,0,0
"FREYFREMD1",2010,"amro",1,0,0,0,1
"FREYFREMD1",2010,"baor",0,0,1,0,0
"FREYFREMD1",2010,"bhco",0,0,0,1,0
"FREYFREMD1",2010,"cach",0,0,0,1,0
"FREYFREMD1",2010,"cedw",0,0,1,0,0
"FREYFREMD1",2010,"cogr",2,1,0,0,0
"FREYFREMD1",2010,"ficr",0,0,0,1,0
"FREYFREMD1",2010,"grca",0,0,1,0,0
"FREYFREMD1",2010,"modo",1,0,0,0,0
"FREYFREMD1",2010,"noca",0,0,1,0,0
"FREYFREMD1",2010,"rthu",1,0,0,0,0
"FREYFREMD1",2010,"rwbl",0,0,0,0,1
"FREYFREMD1",2012,"amro",0,0,0,1,0
"FREYFREMD1",2012,"carw",0,0,1,0,0
"FREYFREMD1",2012,"ficr",0,0,0,1,0
"FREYFREMD1",2012,"grca",0,1,2,0,0
"FREYFREMD1",2012,"noca",0,0,0,2,1
"FREYFREMD1",2012,"nomo",0,0,2,0,0
"FREYFREMD1",2012,"rwbl",0,0,0,1,0
"FREYFREMD1",2012,"sosp",0,0,1,0,1
"FUISLISDC1",2009,"amro",1,0,1,0,1
"FUISLISDC1",2009,"cogr",0,1,0,0,0
"FUISLISDC1",2009,"grca",1,1,0,0,0
"FUISLISDC1",2009,"noca",1,1,0,0,0
"FUISLISDC1",2009,"sosp",0,0,1,0,0
"FUISLISDC1",2010,"amro",0,0,1,1,0
"FUISLISDC1",2010,"modo",2,0,0,0,0
"FUISLISDC1",2012,"amro",0,1,2,0,0
"FUISLISDC1",2012,"cogr",0,1,1,0,0
"FUISLISDC1",2012,"grca",2,0,0,0,0
"FUISLISDC1",2012,"modo",0,0,0,1,0
"FUISLISDC1",2012,"noca",0,0,0,1,0
"GAETHEAMD1",2009,"amgo",0,1,0,0,0
"GAETHEAMD1",2009,"amro",2,1,2,0,0
"GAETHEAMD1",2009,"cach",0,1,0,0,0
"GAETHEAMD1",2009,"carw",0,2,0,0,0
"GAETHEAMD1",2009,"chsp",1,1,0,0,0
"GAETHEAMD1",2009,"grca",0,5,0,0,0
"GAETHEAMD1",2009,"hofi",1,0,0,0,0
"GAETHEAMD1",2009,"modo",0,0,1,0,0
"GAETHEAMD1",2009,"noca",2,2,2,0,0
"GAETHEAMD1",2009,"rthu",1,0,0,0,0
"GAETHEAMD1",2009,"sosp",0,2,0,0,0
"GAETHEAMD1",2009,"tuti",0,1,0,0,0
"GAETHEAMD1",2009,"wbnu",1,0,0,0,0
"GAETHEAMD1",2012,"amro",0,0,0,0,1
"GAETHEAMD1",2012,"bhco",0,0,0,3,0
"GAETHEAMD1",2012,"chsp",0,1,0,0,0
"GAETHEAMD1",2012,"dowo",1,0,0,0,0
"GAETHEAMD1",2012,"eabl",0,2,0,1,0
"GAETHEAMD1",2012,"eawp",0,0,1,0,0
"GAETHEAMD1",2012,"grca",0,1,2,1,0
"GAETHEAMD1",2012,"noca",0,2,0,0,2
"GAETHEAMD1",2012,"sosp",0,0,0,0,1
"GAETHEAMD1",2012,"tuti",0,0,1,0,0
"GAETHEAMD1",2012,"wbnu",2,0,0,0,0
"GALLMONVA1",2009,"amro",0,1,1,0,0
"GALLMONVA1",2009,"chsw",0,0,2,0,0
"GALLMONVA1",2009,"hawo",0,0,0,0,1
"GALLMONVA1",2009,"modo",0,0,0,0,1
"GALLMONVA1",2009,"noca",2,1,1,0,0
"GALLMONVA1",2009,"tuti",0,3,0,0,0
"GALLMONVA1",2009,"wbnu",0,0,0,3,0
"GALLMONVA1",2010,"amro",0,1,0,0,0
"GALLMONVA1",2010,"cach",0,0,0,0,1
"GALLMONVA1",2010,"chsp",0,0,0,1,0
"GALLMONVA1",2010,"rbwo",0,0,0,0,1
"GALLMONVA1",2012,"amro",0,0,0,0,1
"GALLMONVA1",2012,"cach",0,0,4,0,1
"GALLMONVA1",2012,"eato",0,0,0,0,1
"GALLMONVA1",2012,"noca",0,0,0,1,0
"GALLMONVA1",2012,"revi",0,0,0,0,1
"GALLMONVA1",2012,"tuti",0,0,0,1,1
"GALLTERMD1",2009,"amgo",0,0,1,0,0
"GALLTERMD1",2009,"amro",0,1,0,1,0
"GALLTERMD1",2009,"blja",0,1,0,0,0
"GALLTERMD1",2009,"grca",0,1,0,0,0
"GALLTERMD1",2009,"modo",0,0,0,0,1
"GALLTERMD1",2009,"noca",0,2,3,0,1
"GALLTERMD1",2009,"rbwo",0,0,1,0,0
"GALLTERMD1",2009,"revi",0,0,0,1,0
"GALLTERMD1",2009,"tuti",0,0,1,0,0
"GALLTERMD1",2010,"amcr",0,0,1,1,0
"GALLTERMD1",2010,"amro",0,0,1,0,0
"GALLTERMD1",2010,"carw",1,0,0,0,0
"GALLTERMD1",2010,"howr",0,1,0,0,0
"GALLTERMD1",2010,"inbu",0,0,0,1,0
"GALLTERMD1",2010,"noca",2,1,0,0,1
"GALLTERMD1",2010,"rbwo",1,0,0,0,0
"GALLTERMD1",2012,"amro",0,0,0,1,1
"GALLTERMD1",2012,"eawp",0,0,0,0,1
"GALLTERMD1",2012,"noca",1,0,2,1,0
"GALLTERMD1",2012,"tuti",2,0,0,0,0
"GARDVALMD1",2009,"amro",0,1,1,2,0
"GARDVALMD1",2009,"blja",0,0,1,0,1
